Area,Benchmark,One_Month,Three_Month,Six_Month,Twelve_Month,Three_Year,Five_Year,Month,Year
Aggregate ,"$616,777 ","-7.34 ","-7.94 ","-7.78 ","1.63 ","76.78 ","47.65 ",January ,7718
Lower Mainland ,"$969,777 ","-7.89 ","-3.38 ","-6.77 ","-7.93 ","47.18 ","73.78 ",January ,7718
Greater Vancouver ,"$1,737,477 ","-7.93 ","-3.57 ","-6.54 ","-7.69 ","33.37 ","68.71 ",January ,7718
Fraser Valley ,"$834,777 ","-7.83 ","-7.97 ","-5.78 ","7.57 ","58.17 ","85.47 ",January ,7718
Vancouver Island ,"$484,577 ","-7.46 ","-7.58 ","7.97 ","17.99 ","53.36 ","67.76 ",January ,7718
Victoria ,"$686,177 ","-7.75 ","-1.17 ","-1.44 ","6.45 ","44.95 ","67.76 ",January ,7718
Calgary ,"$413,977 ","-1.74 ","-7.41 ","-4.73 ","-3.16 ","-6.67 ","-1.14 ",January ,7718
Edmonton ,"$319,777 ","-7.81 ","-7.37 ","-4.64 ","-7.74 ","-5.74 ","-1.45 ",January ,7718
Regina ,"$767,477 ","-1.73 ","-3.43 ","-3.88 ","-5.77 ","-4.35 ","-11.11 ",January ,7718
Saskatoon ,"$789,677 ","-1.33 ","-1.47 ","-1.87 ","-1.74 ","-6.73 ","-6.19 ",January ,7718
Guelph ,"$574,177 ","-1.17 ","7.33 ","1.44 ","6.77 ","38.95 ","53.77 ",January ,7718
Hamilton-Burlington ,"$584,177 ","7.39 ","1.57 ","1.79 ","6.43 ","39.37 ","77.18 ",January ,7718
Oakville-Milton ,"$941,577 ","-1.45 ","-1.18 ","-1.76 ","3.37 ","78.59 ","49.37 ",January ,7718
Barrie & District ,"$466,777 ","-7.79 ","-1.31 ","-1.57 ","-1.75 ","79.49 ","58.83 ",January ,7718
Greater Toronto ,"$764,777 ","7.78 ","-7.16 ","-7.83 ","7.98 ","33.35 ","58.33 ",January ,7718
Niagara Region ,"$391,877 ","-7.44 ","7.75 ","1.15 ","6.77 ","56.77 ","77.71 ",January ,7718
Ottawa ,"$394,777 ","7.79 ","7.57 ","1.45 ","6.88 ","18.58 ","77.71 ",January ,7718
Greater Montreal ,"$348,777 ","7.17 ","7.95 ","1.79 ","6.77 ","15.38 ","17.86 ",January ,7718
Greater Moncton ,"$187,377 ","-1.17 ","-7.57 ","-1.77 ","7.47 ","17.85 ","15.87 ",January ,7718
