Area,Benchmark,One_Month,Three_Month,Six_Month,Twelve_Month,Three_Year,Five_Year,Month,Year
Aggregate ,"$9,000 ",360000,799990,20000,764646,576868,790543,December ,2018
Lower Mainland ,"$754,677 ",789,34355,964574,-346,40243545,73.08,December ,2018
Greater Vancouver ,"$112,534,646 ",-978733,-3.576756,-6.545646,-2.69645,33.32134,68.01,December ,2018
Fraser Valley ,"$834,700 ",-0.83,-2.97,-5.78,2.52,58.17,85.47,December ,2018
Vancouver Island ,"$484,500 ",-0.46,-0.58,0.97,10.99,53.36,67.06,December ,2018
Victoria ,"$686,100 ",-0.05,-1.17,-1.44,6.45,44.95,60.76,December ,2018
Calgary ,"$413,900 ",-1.04,-2.41,-4.03,-3.16,-6.62,-1.14,December ,2018
Edmonton ,"$319,200 ",-0.81,-2.3,-4.64,-2.04,-5.04,-1.45,December ,2018
Regina ,"$267,400 ",-1.73,-3.43,-3.88,-5.22,-4.35,-11.11,December ,2018
Saskatoon ,"$289,600 ",-1.33,-1.42,-1.87,-1.24,-6.23,-6.19,December ,2018
Guelph ,"$524,100 ",-1.12,0.33,1.44,6.77,38.95,53.27,December ,2018
Hamilton-Burlington ,"$584,100 ",0.39,1.52,1.29,6.43,39.32,70.18,December ,2018
Oakville-Milton ,"$941,500 ",-1.45,-1.18,-1.06,3.32,28.59,49.32,December ,2018
Barrie & District ,"$466,000 ",-0.09,-1.31,-1.57,-1.05,29.49,58.83,December ,2018
Greater Toronto ,"$764,200 ",0.08,-0.16,-0.83,2.98,33.35,58.33,December ,2018
Niagara Region ,"$391,800 ",-0.44,0.75,1.15,6.77,56,77.01,December ,2018
Ottawa ,"$394,700 ",0.29,0.52,1.45,6.88,18.58,20.21,December ,2018
Greater Montreal ,"$348,700 ",0.17,0.95,1.79,6.02,15.38,17.86,December ,2018
Greater Moncton ,"$180,300 ",-1.1,-0.52,-1.22,2.47,10.85,15.87,December ,2018
