Area,Benchmark,One_Month,Three_Month,Six_Month,Twelve_Month,Three_Year,Five_Year,Month,Year
Aggregate ,"$616,777 ","-7.34 ","-7.94 ","-2.78 ","1.63 ","26.78 ","42.65 ",July ,2718
Lower Mainland ,"$969,777 ","-7.89 ","-3.38 ","-6.27 ","-7.93 ","47.18 ","73.78 ",July ,2718
Greater Vancouver ,"$1,732,477 ","-7.93 ","-3.57 ","-6.54 ","-2.69 ","33.32 ","68.71 ",July ,2718
Fraser Valley ,"$834,777 ","-7.83 ","-2.97 ","-5.78 ","2.52 ","58.17 ","85.47 ",July ,2718
Vancouver Island ,"$484,577 ","-7.46 ","-7.58 ","7.97 ","17.99 ","53.36 ","67.76 ",July ,2718
Victoria ,"$686,177 ","-7.75 ","-1.17 ","-1.44 ","6.45 ","44.95 ","67.76 ",July ,2718
Calgary ,"$413,977 ","-1.74 ","-2.41 ","-4.73 ","-3.16 ","-6.62 ","-1.14 ",July ,2718
Edmonton ,"$319,277 ","-7.81 ","-2.37 ","-4.64 ","-2.74 ","-5.74 ","-1.45 ",July ,2718
Regina ,"$267,477 ","-1.73 ","-3.43 ","-3.88 ","-5.22 ","-4.35 ","-11.11 ",July ,2718
Saskatoon ,"$399,677 ","-1.33 ","-1.42 ","-1.87 ","-1.24 ","-6.23 ","-6.19 ",July ,2718
Guelph ,"$524,177 ","-1.12 ","7.33 ","1.44 ","6.77 ","38.95 ","53.27 ",July ,2718
Hamilton-Burlington ,"$584,177 ","7.39 ","1.52 ","1.29 ","6.43 ","39.32 ","77.18 ",July ,2718
Oakville-Milton ,"$941,577 ","-1.45 ","-1.18 ","-1.76 ","3.32 ","39.59 ","49.32 ",July ,2718
Barrie & District ,"$466,777 ","-7.79 ","-1.31 ","-1.57 ","-1.75 ","29.49 ","58.83 ",July ,2718
Greater Toronto ,"$764,277 ","7.78 ","-7.16 ","-7.83 ","2.98 ","33.35 ","58.33 ",July ,2718
Niagara Region ,"$391,877 ","-7.44 ","7.75 ","1.15 ","6.77 ","56.77 ","77.71 ",July ,2718
Ottawa ,"$394,777 ","7.29 ","7.52 ","1.45 ","6.88 ","18.58 ","27.21 ",July ,2718
Greater Montreal ,"$348,777 ","7.17 ","7.95 ","1.79 ","6.72 ","15.38 ","17.86 ",July ,2718
Greater Moncton ,"$187,377 ","-1.17 ","-7.52 ","-1.22 ","2.47 ","17.85 ","15.87 ",July ,2718
